1.000000000000000000e+00,0.000000000000000000e+00,5.912647058823529145e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.851764705882352979e-01
1.000000000000000000e+00,2.000000000000000000e+00,5.707941176470588962e-01
1.000000000000000000e+00,3.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,4.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,5.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,6.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,7.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,8.000000000000000000e+00,5.562352941176471610e-01
1.000000000000000000e+00,9.000000000000000000e+00,5.544705882352941595e-01
1.000000000000000000e+00,1.000000000000000000e+01,5.544705882352941595e-01
1.000000000000000000e+00,1.100000000000000000e+01,5.544705882352941595e-01
1.000000000000000000e+00,1.200000000000000000e+01,5.544705882352941595e-01
1.000000000000000000e+00,1.300000000000000000e+01,5.544705882352941595e-01
1.000000000000000000e+00,1.400000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,1.500000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,1.600000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,1.700000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,1.800000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,1.900000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.000000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.100000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.200000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.300000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.400000000000000000e+01,5.512058823529412122e-01
1.000000000000000000e+00,2.500000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,2.600000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,2.700000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,2.800000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,2.900000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.000000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.100000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.200000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.300000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.400000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.500000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.600000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.700000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.800000000000000000e+01,5.482058823529412095e-01
1.000000000000000000e+00,3.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,4.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,5.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,6.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,7.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,8.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.000000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.100000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.200000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.300000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.400000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.500000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.600000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.700000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.800000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,9.900000000000000000e+01,5.454705882352940405e-01
1.000000000000000000e+00,1.000000000000000000e+02,5.454705882352940405e-01
2.000000000000000000e+00,0.000000000000000000e+00,5.805882352941176272e-01
2.000000000000000000e+00,1.000000000000000000e+00,5.687647058823528390e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.602941176470588314e-01
2.000000000000000000e+00,3.000000000000000000e+00,5.598529411764705532e-01
2.000000000000000000e+00,4.000000000000000000e+00,5.533823529411765474e-01
2.000000000000000000e+00,5.000000000000000000e+00,5.533823529411765474e-01
2.000000000000000000e+00,6.000000000000000000e+00,5.501176470588236000e-01
2.000000000000000000e+00,7.000000000000000000e+00,5.501176470588236000e-01
2.000000000000000000e+00,8.000000000000000000e+00,5.447352941176470953e-01
2.000000000000000000e+00,9.000000000000000000e+00,5.447352941176470953e-01
2.000000000000000000e+00,1.000000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.100000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.200000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.300000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.400000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.500000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.600000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.700000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.800000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,1.900000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,2.000000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,2.100000000000000000e+01,5.447352941176470953e-01
2.000000000000000000e+00,2.200000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.300000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.400000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.500000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.600000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.700000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.800000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,2.900000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,3.000000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,3.100000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,3.200000000000000000e+01,5.413823529411765367e-01
2.000000000000000000e+00,3.300000000000000000e+01,5.413823529411765367e-01
