1.000000000000000000e+00,0.000000000000000000e+00,1.469383170981799214e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.300441553447834186e-01
1.000000000000000000e+00,2.000000000000000000e+00,1.300441553447834186e-01
1.000000000000000000e+00,3.000000000000000000e+00,1.196714143809280290e-01
1.000000000000000000e+00,4.000000000000000000e+00,1.170228627275056721e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.170228627275056721e-01
1.000000000000000000e+00,6.000000000000000000e+00,1.170228627275056721e-01
1.000000000000000000e+00,7.000000000000000000e+00,1.170228627275056721e-01
1.000000000000000000e+00,8.000000000000000000e+00,1.170228627275056721e-01
1.000000000000000000e+00,9.000000000000000000e+00,1.044212061009996695e-01
1.000000000000000000e+00,1.000000000000000000e+01,1.044212061009996695e-01
1.000000000000000000e+00,1.100000000000000000e+01,1.042293162009741841e-01
1.000000000000000000e+00,1.200000000000000000e+01,1.042293162009741841e-01
1.000000000000000000e+00,1.300000000000000000e+01,1.020188092796718154e-01
1.000000000000000000e+00,1.400000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,1.500000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,1.600000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,1.700000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,1.800000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,1.900000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.000000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.100000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.200000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.300000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.400000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.500000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.600000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.700000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.800000000000000000e+01,9.998383427326335005e-02
1.000000000000000000e+00,2.900000000000000000e+01,9.998383427326335005e-02
